Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;44.75;2024-07-22;No
AARTIIND;31.47;2024-07-22;No
AARTIPHARM;45.41;2024-07-22;No
AARTISURF;42.27;2024-07-22;No
ABB;51.36;2024-07-22;No
ACC;38.94;2024-07-22;No
AFFLE;51.36;2024-07-22;Yes
ALKYLAMINE;53.07;2024-07-22;No
ANGELONE;49.77;2024-07-22;No
ASAHIINDIA;25.04;2024-07-22;No
ASHOKLEY;44.0;2024-07-22;No
ASIANPAINT;63.8;2024-07-22;No
ASTRAL;42.42;2024-07-22;No
AXISBANK;57.27;2024-07-22;No
BAJAJ-AUTO;48.0;2024-07-22;No
BAJAJELEC;39.98;2024-07-22;No
BAJAJFINSV;54.87;2024-07-22;No
BAJFINANCE;48.57;2024-07-22;No
BALAMINES;36.05;2024-07-22;No
BATAINDIA;47.05;2024-07-22;No
BEL;39.13;2024-07-22;No
BERGEPAINT;58.86;2024-07-22;Yes
BHARTIARTL;67.05;2024-07-22;No
BOROLTD;42.96;2024-07-22;No
BRITANNIA;68.88;2024-07-22;No
BSE;58.9;2024-07-22;No
CAMPUS;39.35;2024-07-22;No
CAMS;35.67;2024-07-22;No
CDSL;36.79;2024-07-22;No
CENTUM;48.44;2024-07-22;No
CGPOWER;46.72;2024-07-22;No
COCHINSHIP;33.61;2024-07-22;No
COFORGE;43.15;2024-07-22;No
CONCOR;31.35;2024-07-22;No
CYIENT;50.62;2024-07-22;No
DABUR;50.91;2024-07-22;No
DEEPAKNTR;30.32;2024-07-22;No
DIVISLAB;57.1;2024-07-22;No
DIXON;32.36;2024-07-22;No
DMART;84.69;2024-07-22;No
DRREDDY;53.59;2024-07-22;No
EICHERMOT;61.3;2024-07-22;No
ETHOSLTD;37.25;2024-07-22;No
EXIDEIND;32.75;2024-07-22;No
FINEORG;46.79;2024-07-22;No
GMMPFAUDLR;81.22;2024-07-22;Yes
GODREJPROP;32.66;2024-07-22;No
GREENLAM;39.16;2024-07-22;No
GREENPANEL;46.59;2024-07-22;No
GRSE;31.66;2024-07-22;No
HAL;24.96;2024-07-22;No
HAPPSTMNDS;51.52;2024-07-22;No
HAVELLS;60.26;2024-07-22;No
HCLTECH;68.72;2024-07-22;No
HDFCAMC;50.84;2024-07-22;No
HDFCBANK;61.77;2024-07-22;No
HDFCLIFE;56.78;2024-07-22;No
HERITGFOOD;58.04;2024-07-22;No
HEROMOTOCO;61.1;2024-07-22;No
HINDUNILVR;64.77;2024-07-22;No
HLEGLAS;55.33;2024-07-22;No
HNDFDS;44.39;2024-07-22;No
ICICIBANK;61.49;2024-07-22;No
ICICIGI;62.06;2024-07-22;No
ICICIPRULI;56.74;2024-07-22;No
IDEAFORGE;29.69;2024-07-22;No
IDFCFIRSTB;37.77;2024-07-22;No
INDIGO;59.2;2024-07-22;No
INFY;70.15;2024-07-22;No
IRCON;19.8;2024-07-22;No
IRCTC;25.96;2024-07-22;No
IREDA;24.79;2024-07-22;No
ITC;59.85;2024-07-22;No
JIOFIN;45.46;2024-07-22;No
JUBLFOOD;27.92;2024-07-22;No
KALYANKJIL;61.88;2024-07-22;No
KAYNES;43.02;2024-07-22;No
KEI;46.12;2024-07-22;No
KOTAKBANK;61.59;2024-07-22;No
KPIGREEN;35.83;2024-07-22;No
KPITTECH;41.38;2024-07-22;No
LALPATHLAB;41.68;2024-07-22;No
LT;72.12;2024-07-22;Yes
LTIM;43.88;2024-07-22;No
LTTS;38.0;2024-07-22;No
LXCHEM;38.55;2024-07-22;No
MANKIND;81.07;2024-07-22;No
MARICO;49.12;2024-07-22;No
MARUTI;48.39;2024-07-22;No
MAZDOCK;12.82;2024-07-22;No
METROBRAND;58.89;2024-07-22;No
MTARTECH;32.68;2024-07-22;No
MUFTI;69.43;2024-07-22;No
MUTHOOTFIN;71.91;2024-07-22;Yes
NAUKRI;63.3;2024-07-22;Yes
NAVINFLUOR;49.74;2024-07-22;No
NAZARA;39.57;2024-07-22;No
NEOGEN;36.29;2024-07-22;No
NESTLEIND;57.73;2024-07-22;No
NETWEB;47.04;2024-07-22;No
PAGEIND;40.76;2024-07-22;No
PARAS;54.34;2024-07-15;No
PERSISTENT;30.69;2024-07-22;No
PIDILITIND;55.03;2024-07-22;No
PIIND;41.24;2024-07-22;No
POLYCAB;50.09;2024-07-22;No
PRINCEPIPE;44.86;2024-07-22;No
RAILTEL;17.98;2024-07-22;No
RAYMOND;17.32;2024-07-10;No
RELAXO;46.32;2024-07-22;No
RELIANCE;60.71;2024-07-22;No
ROSSARI;40.45;2024-07-22;No
ROUTE;27.45;2024-07-22;No
RVNL;18.01;2024-07-22;No
SBIN;41.07;2024-07-22;No
SIEMENS;41.82;2024-07-22;No
SONACOMS;64.31;2024-07-22;No
SRF;50.85;2024-07-22;No
SUNPHARMA;60.24;2024-07-22;No
TATACONSUM;47.61;2024-07-22;No
TATAELXSI;55.39;2024-07-22;No
TATAMOTORS;41.86;2024-07-22;No
TATAPOWER;37.57;2024-07-22;No
TATATECH;59.31;2024-07-22;No
TCS;68.34;2024-07-22;No
TIINDIA;46.18;2024-07-22;No
TITAN;52.49;2024-07-22;No
TRENT;55.22;2024-07-22;No
TVSMOTOR;48.04;2024-07-22;No
UBL;70.13;2024-07-22;No
UNITDSPR;55.48;2024-07-22;No
UNOMINDA;43.63;2024-07-22;No
VBL;64.54;2024-07-22;No
VINATIORGA;52.79;2024-07-22;No
VOLTAS;49.24;2024-07-22;No
WESTLIFE;60.33;2024-07-22;No
WIPRO;41.71;2024-07-22;No
YASHO;62.29;2024-07-22;No
ZENTEC;53.79;2024-07-22;No
