Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;33.98;2024-08-27;No
AARTIIND;38.0;2024-08-27;No
AARTIPHARM;53.09;2024-08-27;No
AARTISURF;52.25;2024-08-27;No
ABB;20.28;2024-08-27;No
ACC;37.34;2024-08-27;No
AFFLE;43.96;2024-08-27;No
ALKYLAMINE;30.1;2024-08-27;No
ANGELONE;45.23;2024-08-27;No
ASAHIINDIA;40.4;2024-08-27;No
ASHOKLEY;45.31;2024-08-27;No
ASIANPAINT;59.04;2024-08-27;No
ASTRAL;48.45;2024-08-27;No
AXISBANK;45.39;2024-08-27;No
BAJAJ-AUTO;38.32;2024-08-27;No
BAJAJELEC;43.66;2024-08-27;No
BAJAJFINSV;45.46;2024-08-27;No
BAJFINANCE;58.54;2024-08-27;No
BALAMINES;47.04;2024-08-27;No
BATAINDIA;39.13;2024-08-27;No
BEL;57.37;2024-08-27;Yes
BERGEPAINT;48.21;2024-08-27;No
BHARTIARTL;67.24;2024-08-27;No
BOROLTD;46.35;2024-08-27;No
BRITANNIA;50.18;2024-08-27;No
BSE;58.38;2024-08-27;No
CAMPUS;74.63;2024-08-27;No
CAMS;47.97;2024-08-27;No
CDSL;30.49;2024-08-27;No
CENTUM;58.42;2024-08-27;No
CGPOWER;56.52;2024-08-27;Yes
COCHINSHIP;35.23;2024-08-27;No
COFORGE;33.5;2024-08-27;No
CONCOR;61.71;2024-08-27;No
CYIENT;50.22;2024-08-27;No
DABUR;54.87;2024-08-27;No
DEEPAKNTR;34.67;2024-08-27;No
DIVISLAB;41.59;2024-08-27;No
DIXON;36.59;2024-08-27;No
DMART;48.37;2024-08-27;No
DRREDDY;79.33;2024-08-27;Yes
EICHERMOT;62.86;2024-08-27;No
ETHOSLTD;46.67;2024-08-27;No
EXIDEIND;47.41;2024-08-27;No
FINEORG;35.82;2024-08-27;No
GMMPFAUDLR;77.42;2024-08-27;No
GODREJPROP;46.24;2024-08-27;No
GREENLAM;65.6;2024-08-27;Yes
GREENPANEL;58.39;2024-08-27;No
GRSE;32.9;2024-08-27;No
HAL;48.86;2024-08-27;No
HAPPSTMNDS;47.5;2024-08-27;No
HAVELLS;38.63;2024-08-27;No
HCLTECH;34.22;2024-08-27;No
HDFCAMC;49.3;2024-08-27;No
HDFCBANK;61.61;2024-08-27;No
HDFCLIFE;49.11;2024-08-27;No
HERITGFOOD;67.33;2024-08-27;No
HEROMOTOCO;68.49;2024-08-27;No
HINDUNILVR;72.69;2024-08-27;No
HLEGLAS;61.18;2024-08-27;No
HNDFDS;43.37;2024-08-27;No
ICICIBANK;56.23;2024-08-27;No
ICICIGI;55.5;2024-08-27;No
ICICIPRULI;46.27;2024-08-27;No
IDEAFORGE;43.6;2024-08-27;No
IDFCFIRSTB;46.76;2024-08-27;No
INDIGO;45.26;2024-08-27;No
