Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;35.44;2024-07-23;No
AARTIIND;22.14;2024-07-23;No
AARTIPHARM;45.45;2024-07-23;No
AARTISURF;48.16;2024-07-23;No
ABB;38.01;2024-07-23;No
ACC;40.38;2024-07-23;No
AFFLE;43.33;2024-07-23;No
ALKYLAMINE;46.7;2024-07-23;No
ANGELONE;29.7;2024-07-23;No
ASAHIINDIA;16.14;2024-07-23;No
ASHOKLEY;46.29;2024-07-23;No
ASIANPAINT;65.21;2024-07-23;No
ASTRAL;40.55;2024-07-23;No
AXISBANK;40.04;2024-07-23;No
BAJAJ-AUTO;42.39;2024-07-23;No
BAJAJELEC;53.68;2024-07-23;No
BAJAJFINSV;46.2;2024-07-23;No
BAJFINANCE;40.12;2024-07-23;No
BALAMINES;38.87;2024-07-23;No
BATAINDIA;40.89;2024-07-23;No
BEL;31.37;2024-07-23;No
BERGEPAINT;52.83;2024-07-23;No
BHARTIARTL;56.49;2024-07-23;No
BOROLTD;23.81;2024-07-23;No
BRITANNIA;42.93;2024-07-23;No
BSE;45.5;2024-07-23;No
CAMPUS;25.25;2024-07-23;No
CAMS;24.53;2024-07-23;No
CDSL;29.81;2024-07-23;No
CENTUM;46.71;2024-07-23;No
CGPOWER;44.99;2024-07-23;No
COCHINSHIP;26.69;2024-07-23;No
COFORGE;30.45;2024-07-23;No
CONCOR;44.4;2024-07-23;No
CYIENT;64.89;2024-07-23;No
DABUR;48.64;2024-07-23;No
DEEPAKNTR;24.56;2024-07-23;No
DIVISLAB;60.0;2024-07-23;No
DIXON;27.1;2024-07-23;No
DMART;66.83;2024-07-23;No
DRREDDY;67.19;2024-07-23;Yes
EICHERMOT;48.09;2024-07-23;No
ETHOSLTD;39.7;2024-07-23;No
EXIDEIND;29.82;2024-07-23;No
FINEORG;37.22;2024-07-23;No
GMMPFAUDLR;79.47;2024-07-23;Yes
GODREJPROP;29.07;2024-07-23;No
GREENLAM;39.34;2024-07-23;No
GREENPANEL;42.55;2024-07-23;No
GRSE;28.12;2024-07-23;No
HAL;20.63;2024-07-23;No
HAPPSTMNDS;38.95;2024-07-23;No
HAVELLS;55.11;2024-07-23;No
HCLTECH;60.08;2024-07-23;No
HDFCAMC;46.09;2024-07-23;No
HDFCBANK;39.29;2024-07-23;No
HDFCLIFE;44.81;2024-07-23;No
HERITGFOOD;47.08;2024-07-23;No
HEROMOTOCO;36.07;2024-07-23;No
HINDUNILVR;53.17;2024-07-23;No
HLEGLAS;33.5;2024-07-23;No
HNDFDS;48.76;2024-07-23;No
ICICIBANK;41.77;2024-07-23;No
ICICIGI;40.19;2024-07-23;No
ICICIPRULI;41.11;2024-07-23;No
IDEAFORGE;32.46;2024-07-23;No
IDFCFIRSTB;35.28;2024-07-23;No
INDIGO;53.03;2024-07-23;No
INFY;62.32;2024-07-23;No
IRCON;28.04;2024-07-23;No
IRCTC;25.23;2024-07-23;No
IREDA;18.85;2024-07-23;No
ITC;46.11;2024-07-23;No
JIOFIN;50.63;2024-07-23;No
JUBLFOOD;43.17;2024-07-23;No
KALYANKJIL;27.54;2024-07-23;No
KAYNES;31.12;2024-07-23;No
KEI;43.03;2024-07-23;No
KOTAKBANK;43.95;2024-07-23;No
KPIGREEN;46.26;2024-07-23;No
KPITTECH;41.35;2024-07-23;No
LALPATHLAB;46.85;2024-07-23;No
LT;50.67;2024-07-23;No
LTIM;39.4;2024-07-23;No
