Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;58.52;2024-08-30;Yes
AARTIIND;52.32;2024-08-30;Yes
AARTIPHARM;37.82;2024-08-30;No
AARTISURF;53.59;2024-08-30;No
ABB;61.58;2024-08-30;Yes
ACC;45.53;2024-08-30;No
AFFLE;40.37;2024-08-30;No
ALKYLAMINE;48.5;2024-08-30;No
ANGELONE;35.29;2024-08-30;No
ASAHIINDIA;41.0;2024-08-30;No
ASHOKLEY;58.97;2024-08-30;Yes
ASIANPAINT;56.64;2024-08-30;No
ASTRAL;72.2;2024-08-30;No
AXISBANK;59.1;2024-08-30;No
BAJAJ-AUTO;58.44;2024-08-30;Yes
BAJAJELEC;45.19;2024-08-30;No
BAJAJFINSV;49.59;2024-08-30;No
BAJFINANCE;54.4;2024-08-30;No
BALAMINES;50.67;2024-08-30;No
BATAINDIA;50.55;2024-08-30;No
BEL;46.02;2024-08-30;No
BERGEPAINT;37.57;2024-08-30;No
BHARTIARTL;72.15;2024-08-30;No
BOROLTD;66.18;2024-08-30;Yes
BRITANNIA;57.34;2024-08-30;No
BSE;58.28;2024-08-30;No
CAMPUS;54.31;2024-08-30;No
CAMS;48.94;2024-08-30;No
CDSL;29.84;2024-08-30;No
CENTUM;40.94;2024-08-30;No
CGPOWER;57.47;2024-08-30;No
COCHINSHIP;48.77;2024-08-30;No
COFORGE;55.41;2024-08-30;Yes
CONCOR;71.09;2024-08-30;No
CYIENT;49.73;2024-08-30;No
DABUR;75.99;2024-08-30;No
DEEPAKNTR;67.71;2024-08-30;Yes
DIVISLAB;51.12;2024-08-30;No
DIXON;52.16;2024-08-30;Yes
DMART;66.77;2024-08-30;No
DRREDDY;72.25;2024-08-30;No
EICHERMOT;55.5;2024-08-30;No
ETHOSLTD;48.89;2024-08-30;No
EXIDEIND;54.25;2024-08-30;No
FINEORG;42.19;2024-08-30;No
GMMPFAUDLR;41.51;2024-08-30;No
GODREJPROP;61.77;2024-08-30;No
GREENLAM;43.46;2024-08-30;No
GREENPANEL;40.77;2024-08-30;No
GRSE;24.39;2024-08-30;No
HAL;40.32;2024-08-30;No
HAPPSTMNDS;58.09;2024-08-30;No
HAVELLS;68.17;2024-08-30;No
HCLTECH;63.69;2024-08-30;No
HDFCAMC;72.91;2024-08-30;No
