Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;60.43;2024-09-04;No
AARTIIND;35.9;2024-09-04;No
AARTIPHARM;56.58;2024-09-04;No
AARTISURF;83.66;2024-09-04;Yes
ABB;57.31;2024-09-04;No
ACC;43.91;2024-09-04;No
AFFLE;54.88;2024-09-04;Yes
ALKYLAMINE;25.99;2024-09-04;No
ANGELONE;33.68;2024-09-04;No
ASAHIINDIA;17.56;2024-09-04;No
ASHOKLEY;58.53;2024-09-04;No
ASIANPAINT;34.54;2024-09-04;No
ASTRAL;47.52;2024-09-04;No
AXISBANK;59.76;2024-09-04;No
BAJAJ-AUTO;68.73;2024-09-04;No
BAJAJELEC;55.44;2024-09-04;No
BAJAJFINSV;47.6;2024-09-04;No
BAJFINANCE;45.12;2024-09-04;No
BALAMINES;46.35;2024-09-04;No
BATAINDIA;57.37;2024-09-04;No
BEL;35.51;2024-09-04;No
BERGEPAINT;19.81;2024-09-04;No
BHARTIARTL;68.99;2024-09-04;No
BOROLTD;46.87;2024-09-04;No
BRITANNIA;63.76;2024-09-04;No
BSE;53.75;2024-09-04;No
CAMPUS;41.97;2024-09-04;No
CAMS;36.85;2024-09-04;No
CDSL;39.56;2024-09-04;No
CENTUM;39.2;2024-09-04;No
CGPOWER;70.79;2024-09-04;No
COCHINSHIP;20.52;2024-09-04;No
COFORGE;36.6;2024-09-04;No
CONCOR;47.48;2024-09-04;No
CYIENT;59.35;2024-09-04;No
DABUR;73.75;2024-09-04;Yes
DEEPAKNTR;35.59;2024-09-04;No
DIVISLAB;50.03;2024-09-04;No
DIXON;35.18;2024-09-04;No
DMART;62.53;2024-09-04;No
DRREDDY;69.67;2024-09-04;No
EICHERMOT;61.47;2024-09-04;No
ETHOSLTD;51.63;2024-09-04;No
EXIDEIND;66.29;2024-09-04;No
FINEORG;49.18;2024-09-04;No
GMMPFAUDLR;57.38;2024-09-04;No
GODREJPROP;51.13;2024-09-04;No
GREENLAM;50.07;2024-09-04;No
GREENPANEL;40.27;2024-09-04;No
GRSE;20.99;2024-09-04;No
HAL;32.42;2024-09-04;No
HAPPSTMNDS;61.96;2024-09-04;No
