Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;44.68;2024-07-19;No
AARTIIND;38.03;2024-07-19;No
AARTIPHARM;48.87;2024-07-19;No
AARTISURF;50.95;2024-07-19;No
ABB;45.25;2024-07-19;No
ACC;45.15;2024-07-19;No
AFFLE;38.91;2024-07-19;No
ALKYLAMINE;53.53;2024-07-19;No
ANGELONE;44.5;2024-07-19;No
ASAHIINDIA;48.58;2024-07-19;No
ASHOKLEY;44.89;2024-07-19;No
ASIANPAINT;43.66;2024-07-19;No
ASTRAL;60.97;2024-07-19;Yes
AXISBANK;50.94;2024-07-19;No
BAJAJ-AUTO;44.17;2024-07-19;No
BAJAJELEC;50.19;2024-07-19;No
BAJAJFINSV;58.99;2024-07-19;No
BAJFINANCE;53.4;2024-07-19;No
BALAMINES;50.82;2024-07-19;No
BATAINDIA;49.3;2024-07-19;No
BEL;41.62;2024-07-19;No
BERGEPAINT;38.59;2024-07-19;No
BHARTIARTL;53.79;2024-07-19;No
BOROLTD;40.38;2024-07-19;No
BRITANNIA;41.18;2024-07-19;No
BSE;70.44;2024-07-19;No
CAMPUS;29.14;2024-07-19;No
CAMS;33.33;2024-07-19;No
CDSL;41.98;2024-07-19;No
CENTUM;42.51;2024-07-19;No
CGPOWER;54.86;2024-07-19;No
COCHINSHIP;29.54;2024-07-19;No
COFORGE;36.38;2024-07-19;No
CONCOR;46.92;2024-07-19;No
CYIENT;35.23;2024-07-19;No
DABUR;53.09;2024-07-19;No
DEEPAKNTR;51.21;2024-07-19;Yes
DIVISLAB;56.09;2024-07-19;No
DIXON;42.3;2024-07-19;No
DMART;74.93;2024-07-19;No
DRREDDY;38.47;2024-07-19;No
EICHERMOT;64.23;2024-07-19;No
ETHOSLTD;64.69;2024-07-19;Yes
EXIDEIND;38.46;2024-07-19;No
FINEORG;69.19;2024-07-19;No
GMMPFAUDLR;58.66;2024-07-19;No
GODREJPROP;44.06;2024-07-19;No
GREENLAM;42.08;2024-07-19;No
GREENPANEL;59.4;2024-07-19;No
GRSE;29.44;2024-07-19;No
HAL;36.0;2024-07-19;No
HAPPSTMNDS;50.72;2024-07-19;No
HAVELLS;48.27;2024-07-19;No
HCLTECH;62.59;2024-07-19;No
HDFCAMC;63.23;2024-07-19;No
HDFCBANK;62.45;2024-07-19;No
HDFCLIFE;58.7;2024-07-19;No
HERITGFOOD;55.45;2024-07-19;No
HEROMOTOCO;56.48;2024-07-19;No
HINDUNILVR;62.38;2024-07-19;No
HLEGLAS;56.6;2024-07-19;No
HNDFDS;47.25;2024-07-19;No
ICICIBANK;58.65;2024-07-19;No
ICICIGI;49.05;2024-07-19;No
ICICIPRULI;56.8;2024-07-19;No
IDEAFORGE;44.62;2024-07-19;No
IDFCFIRSTB;49.46;2024-07-19;No
INDIGO;54.49;2024-07-19;No
INFY;46.51;2024-07-19;No
IRCON;13.59;2024-07-19;No
IRCTC;38.55;2024-07-19;No
IREDA;14.43;2024-07-19;No
ITC;53.55;2024-07-19;No
JIOFIN;44.49;2024-07-19;No
JUBLFOOD;31.42;2024-07-19;No
KALYANKJIL;66.78;2024-07-19;No
KAYNES;55.33;2024-07-19;No
KEI;61.13;2024-07-19;Yes
KOTAKBANK;68.62;2024-07-19;No
KPIGREEN;50.38;2024-07-19;No
KPITTECH;40.76;2024-07-19;No
LALPATHLAB;66.38;2024-07-19;No
LT;62.52;2024-07-19;No
LTIM;26.52;2024-07-19;No
LTTS;24.75;2024-07-19;No
LXCHEM;45.56;2024-07-19;No
MANKIND;65.95;2024-07-19;No
MARICO;38.86;2024-07-19;No
MARUTI;48.44;2024-07-19;No
MAZDOCK;14.71;2024-07-19;No
METROBRAND;56.94;2024-07-19;No
MTARTECH;44.78;2024-07-19;No
MUFTI;60.24;2024-07-19;Yes
MUTHOOTFIN;51.46;2024-07-19;No
NAUKRI;41.16;2024-07-19;No
NAVINFLUOR;42.61;2024-07-19;No
NAZARA;42.81;2024-07-19;No
NEOGEN;41.95;2024-07-19;No
NESTLEIND;47.96;2024-07-19;No
NETWEB;57.19;2024-07-19;No
PAGEIND;65.72;2024-07-19;No
PARAS;54.34;2024-07-15;No
PERSISTENT;27.49;2024-07-19;No
PIDILITIND;33.73;2024-07-19;No
PIIND;58.37;2024-07-19;No
POLYCAB;39.9;2024-07-19;No
PRINCEPIPE;51.74;2024-07-19;No
RAILTEL;16.78;2024-07-19;No
RAYMOND;17.32;2024-07-10;No
RELAXO;47.02;2024-07-19;No
RELIANCE;61.63;2024-07-19;No
ROSSARI;52.53;2024-07-19;No
ROUTE;30.69;2024-07-19;No
RVNL;13.44;2024-07-19;No
SBIN;42.41;2024-07-19;No
SIEMENS;59.7;2024-07-19;No
SONACOMS;58.16;2024-07-19;No
SRF;56.96;2024-07-19;No
SUNPHARMA;62.79;2024-07-19;No
TATACONSUM;55.06;2024-07-19;No
TATAELXSI;49.63;2024-07-19;No
TATAMOTORS;46.72;2024-07-19;No
TATAPOWER;48.24;2024-07-19;No
TATATECH;49.72;2024-07-19;No
TCS;55.34;2024-07-19;No
TIINDIA;50.16;2024-07-19;No
TITAN;57.36;2024-07-19;No
TRENT;46.04;2024-07-19;No
TVSMOTOR;56.22;2024-07-19;No
UBL;67.54;2024-07-19;No
UNITDSPR;48.13;2024-07-19;No
UNOMINDA;66.08;2024-07-19;No
VBL;67.69;2024-07-19;No
VINATIORGA;38.65;2024-07-19;No
VOLTAS;64.48;2024-07-19;No
WESTLIFE;62.16;2024-07-19;No
WIPRO;39.23;2024-07-19;No
YASHO;62.92;2024-07-19;No
ZENTEC;51.96;2024-07-19;No
