Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;52.87;2024-08-01;No
AARTIIND;32.24;2024-08-01;No
AARTIPHARM;49.51;2024-08-01;No
AARTISURF;70.35;2024-08-01;Yes
ABB;42.78;2024-08-01;No
ACC;53.74;2024-08-01;No
AFFLE;50.43;2024-08-01;No
ALKYLAMINE;34.32;2024-08-01;No
ANGELONE;30.71;2024-08-01;No
ASAHIINDIA;32.87;2024-08-01;No
ASHOKLEY;40.2;2024-08-01;No
ASIANPAINT;45.25;2024-08-01;No
ASTRAL;54.92;2024-08-01;No
AXISBANK;72.2;2024-08-01;No
BAJAJ-AUTO;46.64;2024-08-01;No
BAJAJELEC;45.99;2024-08-01;No
BAJAJFINSV;51.85;2024-08-01;No
BAJFINANCE;62.02;2024-08-01;No
BALAMINES;45.18;2024-08-01;No
BATAINDIA;59.69;2024-08-01;Yes
BEL;49.02;2024-08-01;No
BERGEPAINT;53.74;2024-08-01;No
BHARTIARTL;64.96;2024-08-01;No
BOROLTD;39.16;2024-08-01;No
BRITANNIA;52.31;2024-08-01;No
BSE;46.54;2024-08-01;No
CAMPUS;53.48;2024-08-01;No
CAMS;42.34;2024-08-01;No
CDSL;52.61;2024-08-01;No
CENTUM;44.1;2024-08-01;No
CGPOWER;62.04;2024-08-01;No
COCHINSHIP;39.93;2024-08-01;No
COFORGE;56.67;2024-08-01;No
CONCOR;50.58;2024-08-01;No
CYIENT;81.8;2024-08-01;No
DABUR;42.8;2024-08-01;No
DEEPAKNTR;21.93;2024-08-01;No
DIVISLAB;50.58;2024-08-01;No
DIXON;30.54;2024-08-01;No
DMART;49.5;2024-08-01;No
DRREDDY;50.49;2024-08-01;No
EICHERMOT;51.57;2024-08-01;No
ETHOSLTD;54.32;2024-08-01;No
EXIDEIND;39.65;2024-08-01;No
FINEORG;29.05;2024-08-01;No
GMMPFAUDLR;58.01;2024-08-01;No
GODREJPROP;44.0;2024-08-01;No
GREENLAM;52.12;2024-08-01;No
GREENPANEL;37.84;2024-08-01;No
GRSE;38.71;2024-08-01;No
HAL;46.32;2024-08-01;No
HAPPSTMNDS;52.07;2024-08-01;No
HAVELLS;59.41;2024-08-01;No
HCLTECH;62.67;2024-08-01;No
HDFCAMC;54.72;2024-08-01;No
HDFCBANK;65.68;2024-08-01;No
HDFCLIFE;53.07;2024-08-01;No
HERITGFOOD;69.74;2024-08-01;No
HEROMOTOCO;51.71;2024-08-01;No
HINDUNILVR;58.92;2024-08-01;No
HLEGLAS;52.77;2024-08-01;No
HNDFDS;42.99;2024-08-01;No
ICICIBANK;59.17;2024-08-01;No
ICICIGI;52.28;2024-08-01;No
ICICIPRULI;61.34;2024-08-01;No
IDEAFORGE;35.79;2024-08-01;No
IDFCFIRSTB;49.96;2024-08-01;No
INDIGO;65.64;2024-08-01;No
INFY;54.75;2024-08-01;No
IRCON;33.13;2024-08-01;No
IRCTC;42.0;2024-08-01;No
IREDA;43.01;2024-08-01;No
ITC;53.59;2024-08-01;No
JIOFIN;58.02;2024-08-01;No
JUBLFOOD;35.8;2024-08-01;No
KALYANKJIL;50.3;2024-08-01;No
KAYNES;43.59;2024-08-01;No
KEI;56.16;2024-08-01;No
KOTAKBANK;57.13;2024-08-01;No
KPIGREEN;46.34;2024-07-24;No
KPITTECH;47.22;2024-08-01;No
LALPATHLAB;48.91;2024-08-01;No
LT;53.19;2024-08-01;No
LTIM;44.57;2024-08-01;No
LTTS;42.04;2024-08-01;No
LXCHEM;52.5;2024-08-01;No
MANKIND;80.39;2024-08-01;No
MARICO;53.87;2024-08-01;No
MARUTI;30.11;2024-08-01;No
MAZDOCK;29.77;2024-08-01;No
METROBRAND;37.22;2024-08-01;No
MTARTECH;49.29;2024-08-01;No
MUFTI;55.39;2024-08-01;No
MUTHOOTFIN;61.35;2024-08-01;No
NAUKRI;58.0;2024-08-01;No
NAVINFLUOR;46.23;2024-08-01;No
NAZARA;37.26;2024-08-01;No
NEOGEN;41.05;2024-08-01;No
NESTLEIND;69.57;2024-08-01;No
NETWEB;57.45;2024-08-01;No
PAGEIND;58.55;2024-08-01;No
PARAS;-1;Err;Err
PERSISTENT;39.88;2024-08-01;No
PIDILITIND;51.16;2024-08-01;No
PIIND;56.05;2024-08-01;No
POLYCAB;44.99;2024-08-01;No
PRINCEPIPE;27.95;2024-08-01;No
RAILTEL;30.01;2024-08-01;No
RAYMOND;43.95;2024-08-01;No
RELAXO;46.4;2024-08-01;No
RELIANCE;67.78;2024-08-01;No
ROSSARI;30.25;2024-08-01;No
ROUTE;47.59;2024-08-01;No
RVNL;33.06;2024-08-01;No
SBIN;46.41;2024-08-01;No
SIEMENS;50.84;2024-08-01;No
SONACOMS;61.52;2024-08-01;No
SRF;62.74;2024-08-01;No
SUNPHARMA;30.81;2024-08-01;No
TATACONSUM;45.76;2024-08-01;No
TATAELXSI;54.42;2024-08-01;No
TATAMOTORS;38.74;2024-08-01;No
TATAPOWER;38.41;2024-08-01;No
TATATECH;60.74;2024-08-01;No
TCS;63.85;2024-08-01;No
TIINDIA;78.74;2024-08-01;No
TITAN;45.78;2024-08-01;No
TRENT;50.59;2024-08-01;No
TVSMOTOR;61.49;2024-08-01;No
UBL;63.64;2024-08-01;No
UNITDSPR;51.24;2024-08-01;No
UNOMINDA;61.74;2024-08-01;No
VBL;64.94;2024-08-01;No
VINATIORGA;52.38;2024-08-01;No
VOLTAS;45.39;2024-08-01;No
WESTLIFE;91.87;2024-08-01;Yes
WIPRO;47.93;2024-08-01;No
YASHO;58.77;2024-08-01;No
ZENTEC;64.03;2024-08-01;No
