Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;48.82;2024-08-21;No
AARTIIND;44.74;2024-08-21;Yes
AARTIPHARM;52.49;2024-08-21;No
AARTISURF;57.63;2024-08-21;No
ABB;40.12;2024-08-21;No
ACC;51.51;2024-08-21;No
AFFLE;39.63;2024-08-21;No
ALKYLAMINE;49.76;2024-08-21;No
ANGELONE;15.82;2024-08-21;No
ASAHIINDIA;48.89;2024-08-21;No
ASHOKLEY;36.34;2024-08-21;No
ASIANPAINT;47.47;2024-08-21;No
ASTRAL;74.41;2024-08-21;No
AXISBANK;61.33;2024-08-21;No
BAJAJ-AUTO;52.24;2024-08-21;No
BAJAJELEC;91.48;2024-08-21;No
BAJAJFINSV;60.86;2024-08-21;No
BAJFINANCE;67.86;2024-08-21;Yes
BALAMINES;48.08;2024-08-21;No
BATAINDIA;62.36;2024-08-21;Yes
BEL;45.65;2024-08-21;No
BERGEPAINT;41.61;2024-08-21;No
BHARTIARTL;70.36;2024-08-21;No
BOROLTD;39.64;2024-08-21;No
BRITANNIA;57.46;2024-08-21;No
BSE;46.71;2024-08-21;No
CAMPUS;39.25;2024-08-21;No
CAMS;31.44;2024-08-21;No
CDSL;42.46;2024-08-21;Yes
CENTUM;60.85;2024-08-21;No
CGPOWER;42.86;2024-08-21;No
COCHINSHIP;24.74;2024-08-21;No
COFORGE;48.11;2024-08-21;No
CONCOR;58.89;2024-08-21;No
CYIENT;29.5;2024-08-21;No
DABUR;64.14;2024-08-21;No
DEEPAKNTR;42.54;2024-08-21;No
DIVISLAB;23.32;2024-08-21;No
DIXON;35.15;2024-08-21;No
DMART;59.69;2024-08-21;No
DRREDDY;40.55;2024-08-21;No
EICHERMOT;60.01;2024-08-21;No
ETHOSLTD;53.84;2024-08-21;No
EXIDEIND;26.76;2024-08-21;No
FINEORG;46.94;2024-08-21;No
GMMPFAUDLR;63.23;2024-08-21;No
GODREJPROP;60.35;2024-08-21;No
GREENLAM;45.38;2024-08-21;No
GREENPANEL;51.82;2024-08-21;No
GRSE;26.16;2024-08-21;No
HAL;38.43;2024-08-21;Yes
HAPPSTMNDS;62.82;2024-08-21;No
HAVELLS;56.13;2024-08-21;No
HCLTECH;71.76;2024-08-21;Yes
HDFCAMC;64.02;2024-08-21;No
HDFCBANK;61.31;2024-08-21;Yes
HDFCLIFE;49.05;2024-08-21;No
HERITGFOOD;61.8;2024-08-21;No
HEROMOTOCO;59.95;2024-08-21;No
HINDUNILVR;67.75;2024-08-21;No
HLEGLAS;45.73;2024-08-21;No
HNDFDS;54.75;2024-08-21;No
ICICIBANK;47.95;2024-08-21;No
ICICIGI;73.22;2024-08-21;No
ICICIPRULI;36.46;2024-08-21;No
IDEAFORGE;48.93;2024-08-21;No
IDFCFIRSTB;35.75;2024-08-21;No
INDIGO;58.4;2024-08-21;No
INFY;70.83;2024-08-21;No
IRCON;38.92;2024-08-21;No
IRCTC;47.92;2024-08-21;No
IREDA;38.49;2024-08-21;No
ITC;46.73;2024-08-21;No
JIOFIN;45.52;2024-08-21;No
