Stock Symbol;Delivery to Trade Percentage;Date;High Delivery
AARTIDRUGS;53.84;2024-08-05;No
AARTIIND;33.44;2024-08-05;No
AARTIPHARM;32.63;2024-08-05;No
AARTISURF;59.03;2024-08-05;No
ABB;32.04;2024-08-05;No
ACC;38.77;2024-08-05;No
AFFLE;36.98;2024-08-05;No
ALKYLAMINE;55.36;2024-08-05;No
ANGELONE;46.82;2024-08-05;No
ASAHIINDIA;54.85;2024-08-05;No
ASHOKLEY;43.45;2024-08-05;No
ASIANPAINT;55.62;2024-08-05;No
ASTRAL;38.59;2024-08-05;No
AXISBANK;64.24;2024-08-05;No
BAJAJ-AUTO;55.96;2024-08-05;No
BAJAJELEC;49.0;2024-08-05;No
BAJAJFINSV;62.8;2024-08-05;No
BAJFINANCE;52.69;2024-08-05;No
BALAMINES;43.25;2024-08-05;No
BATAINDIA;28.47;2024-08-05;No
BEL;36.62;2024-08-05;No
BERGEPAINT;40.02;2024-08-05;No
BHARTIARTL;63.45;2024-08-05;No
BOROLTD;57.6;2024-08-05;No
BRITANNIA;21.6;2024-08-05;No
BSE;55.59;2024-08-05;No
CAMPUS;40.17;2024-08-05;No
CAMS;47.13;2024-08-05;No
CDSL;40.63;2024-08-05;No
CENTUM;45.79;2024-08-05;No
CGPOWER;52.17;2024-08-05;No
COCHINSHIP;49.4;2024-08-05;No
COFORGE;40.06;2024-08-05;No
CONCOR;49.81;2024-08-05;No
CYIENT;65.57;2024-08-05;No
DABUR;37.7;2024-08-05;No
DEEPAKNTR;33.15;2024-08-05;No
DIVISLAB;53.43;2024-08-05;No
DIXON;29.7;2024-08-05;No
DMART;61.71;2024-08-05;No
DRREDDY;56.72;2024-08-05;No
EICHERMOT;53.91;2024-08-05;No
ETHOSLTD;45.72;2024-08-05;No
EXIDEIND;37.88;2024-08-05;No
FINEORG;45.45;2024-08-05;No
GMMPFAUDLR;50.29;2024-08-05;No
GODREJPROP;51.26;2024-08-05;No
GREENLAM;46.25;2024-08-05;No
GREENPANEL;46.84;2024-08-05;No
GRSE;40.54;2024-08-05;No
HAL;29.65;2024-08-05;No
HAPPSTMNDS;56.46;2024-08-05;No
HAVELLS;60.1;2024-08-05;No
HCLTECH;63.26;2024-08-05;No
HDFCAMC;49.21;2024-08-05;No
HDFCBANK;58.61;2024-08-05;No
HDFCLIFE;58.46;2024-08-05;No
HERITGFOOD;67.38;2024-08-05;No
HEROMOTOCO;48.96;2024-08-05;No
HINDUNILVR;52.51;2024-08-05;No
HLEGLAS;56.15;2024-08-05;No
HNDFDS;60.37;2024-08-05;Yes
ICICIBANK;62.41;2024-08-05;No
ICICIGI;46.47;2024-08-05;No
ICICIPRULI;61.55;2024-08-05;No
IDEAFORGE;44.22;2024-08-05;No
IDFCFIRSTB;49.52;2024-08-05;No
INDIGO;55.02;2024-08-05;No
INFY;71.79;2024-08-05;No
IRCON;30.2;2024-08-05;No
IRCTC;40.59;2024-08-05;No
IREDA;37.15;2024-08-05;No
ITC;65.31;2024-08-05;No
JIOFIN;52.79;2024-08-05;No
JUBLFOOD;43.25;2024-08-05;No
KALYANKJIL;50.86;2024-08-05;No
KAYNES;40.1;2024-08-05;No
KEI;53.08;2024-08-05;No
KOTAKBANK;59.75;2024-08-05;No
KPIGREEN;46.34;2024-07-24;No
KPITTECH;43.36;2024-08-05;No
LALPATHLAB;32.05;2024-08-05;No
LT;56.08;2024-08-05;No
LTIM;57.72;2024-08-05;No
LTTS;33.68;2024-08-05;No
LXCHEM;47.9;2024-08-05;No
MANKIND;64.03;2024-08-05;No
MARICO;31.83;2024-08-05;No
MARUTI;52.07;2024-08-05;No
MAZDOCK;25.54;2024-08-05;No
METROBRAND;54.95;2024-08-05;No
MTARTECH;50.98;2024-08-05;No
MUFTI;46.24;2024-08-05;No
MUTHOOTFIN;65.56;2024-08-05;No
NAUKRI;39.44;2024-08-05;No
NAVINFLUOR;32.1;2024-08-05;No
NAZARA;27.11;2024-08-05;No
NEOGEN;44.68;2024-08-05;No
NESTLEIND;58.5;2024-08-05;No
NETWEB;49.39;2024-08-05;No
PAGEIND;34.65;2024-08-05;No
PARAS;-1;Err;Err
PERSISTENT;26.72;2024-08-05;No
PIDILITIND;54.49;2024-08-05;No
PIIND;51.95;2024-08-05;No
POLYCAB;29.65;2024-08-05;No
PRINCEPIPE;49.04;2024-08-05;No
RAILTEL;27.46;2024-08-05;No
RAYMOND;57.4;2024-08-05;No
RELAXO;51.01;2024-08-05;No
RELIANCE;65.12;2024-08-05;No
ROSSARI;23.4;2024-08-05;No
ROUTE;52.39;2024-08-05;No
RVNL;34.13;2024-08-05;No
SBIN;44.26;2024-08-05;No
SIEMENS;50.21;2024-08-05;No
